Member state,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Austria,27.4,27.6,27.0,27.6,27.2,27.2,27.9,26.8,27.5,27.0,26.7,27.8,28.1
Belgium,26.3,26.5,25.9,25.9,26.2,26.3,26.1,25.7,25.1,25.4,24.1,24.9,24.2
Denmark,26.6,26.5,26.8,27.7,27.4,27.7,27.6,27.8,27.5,27.3,27.0,27.7,28.2
Estonia,31.9,32.5,32.9,35.6,34.8,32.7,31.6,30.6,30.5,30.5,30.6,31.9,31.8
Finland,25.8,25.9,25.4,25.6,25.2,25.4,25.3,25.9,26.2,26.5,25.7,26.6,26.6
France,30.8,30.5,30.1,29.2,29.2,29.3,28.8,28.5,29.2,29.2,29.3,29.8,29.7
Germany,29.0,28.3,29.7,30.7,30.1,29.5,29.1,31.1,29.7,30.5,31.2,29.0,29.4
Hungary,26.9,27.2,28.3,28.6,28.2,28.2,28.1,28.7,28.0,28.0,27.6,27.4,29.0
Ireland,29.8,30.4,30.7,31.1,29.7,29.6,30.6,28.9,28.3,28.3,26.6,26.9,27.4
Italy,32.5,32.4,32.8,32.4,32.4,33.1,32.7,33.4,32.8,32.5,32.9,32.7,31.5
Netherlands,25.8,25.4,25.1,26.2,26.7,26.9,27.1,27.4,26.8,28.2,26.4,26.3,26.4
Poland,31.1,30.9,30.7,30.8,30.6,29.8,29.2,27.8,28.5,27.2,26.8,26.3,27.0
Sweden,26.0,26.0,26.0,26.9,26.7,27.6,28.0,27.0,27.6,26.9,26.8,27.6,29.5